TYPEG;VARIANCE;NB_OBJ;NB_SRC;NB_FL;NB_FU;NBF;TRUST;SF;OF;TRUTH;INTERVAL:30-34/35-39/40-44/45-49/50-54/55-59/60-64/65-69/70-74/75-79/;PRP_55-55_AGENDAG_10_distrib
cpr;100;10;11;2;2;20;34;1,3,5,7,8,11,13,15,17,19-1,3,5,7,8,11,13,15,17,19-1,3,5,7,8,11,13,14,17,19-1,2,4,7,9,11,13,15,17,19-1,3,5,7,8,11,12,14,17,19-1,3,4,7,9,11,13,14,16,19-1,3,5,6,9,10,13,15,16,18-0,2,5,7,9,11,12,14,17,19-1,3,4,6,8,11,13,15,16,18-0,3,4,6,9,10,13,15,16,18-0,3,5,6,9,10,12,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-6-8-10-12-14-16-18;;563/prop576
cpr;100;10;11;2;2;20;34;0,3,5,7,8,11,13,14,17,18-0,3,5,7,8,11,13,14,17,18-1,3,5,7,8,11,13,14,17,18-1,3,5,7,8,11,13,14,17,18-1,2,4,7,9,11,13,14,17,18-1,3,5,7,9,11,13,14,16,19-0,3,4,7,8,11,13,14,16,19-1,3,4,7,8,11,12,14,17,18-1,2,5,6,9,11,12,15,17,18-1,2,4,7,9,11,13,15,16,19-1,2,5,6,8,11,12,14,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-6-8-10-12-15-16-19;;563/prop4928
cpr;100;10;11;2;2;20;34;0,3,4,7,8,10,13,15,16,19-0,2,4,7,8,10,13,15,17,19-0,2,4,6,8,10,12,15,16,19-0,3,4,7,8,10,12,15,16,19-0,2,4,6,8,11,13,15,16,18-0,3,4,6,8,10,13,15,16,18-0,2,5,7,8,11,13,14,17,19-0,3,5,6,8,10,13,14,16,19-0,3,4,6,8,11,13,14,16,18-1,3,4,6,8,11,13,14,17,19-1,3,4,6,9,10,12,15,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-5-6-9-11-12-14-17-18;;563/prop4929
cpr;100;10;11;2;2;20;34;0,2,4,6,8,10,12,15,16,19-0,2,4,6,8,10,13,15,16,18-0,2,4,6,8,10,13,15,16,19-1,2,4,6,9,10,12,15,16,18-1,3,4,6,8,10,12,14,16,18-0,2,4,6,8,10,13,14,16,19-1,2,4,6,9,11,13,15,16,18-0,3,4,7,9,10,12,15,17,18-0,3,4,6,9,10,13,14,17,18-1,2,4,7,9,11,12,14,16,19-0,2,5,7,9,10,13,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-5-7-9-11-13-14-17-19;;563/prop4930
cpr;100;10;11;2;2;20;34;1,3,4,6,9,10,12,14,17,18-1,3,4,6,9,10,12,14,17,18-1,3,4,6,9,10,13,14,17,18-1,3,4,7,8,10,12,15,17,18-1,2,4,6,9,11,12,14,17,18-1,3,4,6,9,10,13,15,17,18-0,3,4,7,9,10,12,15,17,18-1,3,4,7,9,10,13,15,17,18-1,2,5,7,9,10,13,14,17,18-1,2,5,7,8,10,13,15,17,19-0,3,4,7,9,11,12,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-5-7-9-11-13-15-16-19;;563/prop4931
cpr;100;10;11;2;2;20;34;0,2,4,6,8,10,12,15,16,19-0,2,5,6,8,10,13,15,16,19-0,3,5,6,8,10,13,15,16,19-1,2,4,7,8,10,13,15,16,19-1,3,4,6,8,10,12,15,16,19-0,2,4,6,8,10,12,14,17,19-0,2,5,7,8,11,12,15,16,19-0,2,4,6,8,11,12,14,17,19-0,2,5,6,9,11,13,15,17,18-1,3,5,6,8,10,12,15,17,18-1,3,5,6,9,11,13,15,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-5-7-9-11-12-14-17-18;;563/prop4932
cpr;100;10;11;2;2;20;34;0,3,4,6,9,10,12,15,16,19-0,3,5,6,9,10,13,15,16,19-0,3,4,6,9,10,13,14,16,18-0,3,4,7,9,10,13,15,16,18-0,3,5,6,9,11,13,15,17,19-0,2,4,6,8,10,13,15,16,18-0,3,5,6,9,11,13,14,17,19-1,3,4,6,9,11,13,14,16,18-0,2,4,7,8,10,13,15,17,18-0,3,5,7,8,11,12,15,16,18-0,3,4,7,9,11,12,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-7-8-11-12-14-17-18;;563/prop4933
cpr;100;10;11;2;2;20;34;1,2,5,6,9,10,12,14,16,18-1,3,5,6,9,10,12,15,16,18-0,2,5,6,9,10,12,15,16,19-1,2,4,6,8,10,12,15,16,18-0,2,5,6,9,11,12,15,16,19-1,3,4,6,8,10,12,15,16,18-1,2,5,6,9,11,12,14,17,19-0,2,5,7,9,10,13,15,17,18-0,2,5,7,9,11,12,15,17,19-1,2,4,6,8,11,13,14,16,19-0,3,5,7,9,11,13,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-4-7-8-11-13-14-17-19;;563/prop4934
cpr;100;10;11;2;2;20;34;0,2,5,6,8,11,12,14,17,18-0,2,5,6,8,11,12,14,17,18-0,3,5,6,8,11,12,14,16,19-0,3,4,6,8,11,12,14,16,18-1,3,5,6,9,11,13,14,17,18-0,3,5,6,9,10,12,14,16,18-0,2,5,6,9,11,12,15,16,18-1,2,5,6,9,11,13,14,17,18-1,3,5,6,9,10,12,15,16,18-1,3,5,7,9,10,12,15,16,18-0,2,5,7,9,10,13,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-7-9-10-13-15-16-19;;563/prop4935
cpr;100;10;11;2;2;20;34;1,3,4,7,8,10,13,14,16,19-1,3,4,7,8,10,13,14,16,19-1,3,4,7,8,10,12,14,16,19-0,2,4,7,8,10,13,15,16,19-1,3,4,7,8,10,13,14,17,18-1,3,5,7,8,10,13,14,17,19-1,3,5,7,9,10,12,14,16,19-0,2,4,6,8,10,13,14,16,19-1,3,5,6,8,10,13,14,17,18-0,2,4,7,8,10,12,14,17,18-0,2,4,7,9,10,12,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-5-6-9-11-12-14-17-18;;563/prop4936
